episode:193, reward: 49999, mean reward: 16665.24, score: 49995.733885726266, epsilon: 0.8282929659009062, total steps: 2645
episode:194, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8282670232344229, total steps: 2646
episode:195, reward: 49999, mean reward: 1922.31, score: 49980.06277823347, epsilon: 0.8275928173457052, total steps: 2672
episode:196, reward: -7898.973667732163, mean reward: -156.21, score: -7966.849445479856, epsilon: 0.8262720325413901, total steps: 2723
episode:197, reward: 49999, mean reward: 16665.34, score: 49996.02776520813, epsilon: 0.8261944092193669, total steps: 2726
episode:198, reward: 49999, mean reward: 1085.94, score: 49953.42717254255, epsilon: 0.8250051564520242, total steps: 2772
episode:199, reward: -218.9197036391185, mean reward: 89.23, score: 7049.431118683533, epsilon: 0.8229669942979967, total steps: 2851
episode:200, reward: 49999, mean reward: 8332.94, score: 49997.61774132248, epsilon: 0.8228124163574465, total steps: 2857
episode:201, reward: 49999, mean reward: 16665.32, score: 49995.95037707843, epsilon: 0.8227351389797439, total steps: 2860
episode:202, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8227093815710705, total steps: 2861
episode:203, reward: 49999, mean reward: 12499.44, score: 49997.74137769775, epsilon: 0.8226063605217503, total steps: 2865
episode:204, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8225806074056206, total steps: 2866
episode:205, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8225548551479137, total steps: 2867
episode:206, reward: 49999, mean reward: 8332.22, score: 49993.30951694729, epsilon: 0.8224003596269512, total steps: 2873
episode:207, reward: 49999, mean reward: 9998.37, score: 49991.872483632746, epsilon: 0.8222716369608669, total steps: 2878
episode:208, reward: 49999, mean reward: 16665.25, score: 49995.74228460624, epsilon: 0.8221944136584003, total steps: 2881
episode:209, reward: 49999, mean reward: 16665.35, score: 49996.03967671843, epsilon: 0.8221171980778779, total steps: 2884
episode:210, reward: 49999, mean reward: 16665.35, score: 49996.059539770264, epsilon: 0.8220399902185273, total steps: 2887
episode:211, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.822014255981093, total steps: 2888
episode:212, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8219885226014524, total steps: 2889
episode:213, reward: 49999, mean reward: 9998.91, score: 49994.535584285666, epsilon: 0.8218598685691526, total steps: 2894
episode:214, reward: 49999, mean reward: 7142.07, score: 49994.466497212314, epsilon: 0.8216797889432599, total steps: 2901
episode:215, reward: 49999, mean reward: 9998.8, score: 49993.98430608101, epsilon: 0.8215511863622821, total steps: 2906
episode:216, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8215254684180381, total steps: 2907
episode:217, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8214997513310447, total steps: 2908
episode:218, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8214740351012733, total steps: 2909
episode:219, reward: 49999, mean reward: 1999.04, score: 49975.87911220163, epsilon: 0.8208314078705574, total steps: 2934
episode:220, reward: 49999, mean reward: 16665.35, score: 49996.038588858166, epsilon: 0.8207543285837989, total steps: 2937
episode:221, reward: 49999, mean reward: 16665.36, score: 49996.080702842475, epsilon: 0.8206772570045837, total steps: 2940
episode:222, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8206515681908328, total steps: 2941
episode:223, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8206258802333615, total steps: 2942
episode:224, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.820600193132141, total steps: 2943
episode:225, reward: 49999, mean reward: 8332.23, score: 49993.387017981775, epsilon: 0.8204460885044911, total steps: 2949
episode:226, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8204204073962285, total steps: 2950
episode:227, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8203947271439885, total steps: 2951
episode:228, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8203690477477427, total steps: 2952
episode:229, reward: 49999, mean reward: 4166.65, score: 49999.76007322228, epsilon: 0.820060961749951, total steps: 2964
episode:230, reward: 49999, mean reward: 4998.24, score: 49982.35411407001, epsilon: 0.8198043175391124, total steps: 2974
episode:231, reward: 49999, mean reward: 12498.67, score: 49994.68961144694, epsilon: 0.8197016838058414, total steps: 2978
episode:232, reward: 49999, mean reward: 5553.94, score: 49985.466511226776, epsilon: 0.8194708079338121, total steps: 2987
episode:233, reward: 49999, mean reward: 2321.89, score: 139313.12648466794, epsilon: 0.817933404234112, total steps: 3047
episode:234, reward: 49999, mean reward: 16665.34, score: 49996.0324479597, epsilon: 0.8178566147332277, total steps: 3050
episode:235, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8178310199393188, total steps: 3051
episode:236, reward: 49999, mean reward: 2380.02, score: 49980.475530558826, epsilon: 0.8172937263000746, total steps: 3072
episode:237, reward: 49999, mean reward: 3570.21, score: 49983.0029060261, epsilon: 0.816935739431234, total steps: 3086
episode:238, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.816910175332657, total steps: 3087
episode:239, reward: 49999, mean reward: 8332.23, score: 49993.36471348455, epsilon: 0.8167568086347715, total steps: 3093
episode:240, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8167312505004549, total steps: 3094
episode:241, reward: 49999, mean reward: 5555.11, score: 49996.032004394634, epsilon: 0.816501265624761, total steps: 3103
episode:242, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8164757160084029, total steps: 3104
episode:243, reward: 49999, mean reward: 12498.68, score: 49994.72607383141, epsilon: 0.8163735260590831, total steps: 3108
episode:244, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8163479807006395, total steps: 3109
episode:245, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8163224361936936, total steps: 3110
episode:246, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8162968925382171, total steps: 3111
episode:247, reward: 49999, mean reward: 16665.32, score: 49995.952202914115, epsilon: 0.81622026668032, total steps: 3114
episode:248, reward: 49999, mean reward: 16665.31, score: 49995.918162283, epsilon: 0.8161436484846256, total steps: 3117
episode:249, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.81611811078864, total steps: 3118
episode:250, reward: 49999, mean reward: 8331.68, score: 49990.05202292404, epsilon: 0.8159649024878232, total steps: 3124
episode:251, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8159393707499382, total steps: 3125
episode:252, reward: 49999, mean reward: 16665.26, score: 49995.781366336145, epsilon: 0.8158627806424323, total steps: 3128
episode:253, reward: 49999, mean reward: 16665.36, score: 49996.08210196259, epsilon: 0.8157861981935545, total steps: 3131
